id,name
1,???d
2,Ice Apple
3,Green Apple
4,Red Apple
5,Yellow Apple
6,Blueberry Ice Cream
7,Blueberry Swirl Ice Cream
8,Butterscotch Swirl Ice Cream
9,Chocolate Ice Cream
10,Mint Ice Cream
11,Chocolate Swirl Ice Cream
12,Strawberry Ice Cream
13,Strawberry Swirl Ice Cream
14,Organic Bananas
15,Organic Apple
16,Organic Cherries
17,Organic Grapes
18,Organic Orange
19,Organic Strawberry
20,Skeletal Snow Jar
21,Green Snow Jar
22,Red Snow Jar
23,Blue Snow Jar
24,Yellow Snow Jar
25,Glacial Snow Jar
26,Red Ice Cube
27,Yellow Ice Cube
28,Green Ice Cube
29,Golden Ice Cube
30,Silver Ice Cube
31,Black Ice Cube
32,Galaxy Ice Cube
33,Rainbow Ice Cube
34,Shuriken Ice Cube
35,Pirate Hat Ice Cube
36,Bronze Ice Cube
37,Blue Ice Cube
38,Bone Ice Cube
39,Brown Ice Cube
40,Plain Ice Cube
41,Orange Ice Cube
42,Purple Ice Cube
43,Pink Ice Cube
44,Melting Ice Cube
45,Flaming Ice Cube
46,???
47,???
48,???
49,???
50,Fire Snowball
51,Glass of Iced Tea
52,Stick on Fire
53,Jar of Apple Jelly
54,Biscuit with Apple Jelly
55,Biscuit with Grape Jelly
56,Blackberry Slushie
57,Blackberry Smoothie
58,Blackberry Snow Cone
59,???
60,Pitcher of Blueberry Lemonade
61,Blueberry Slushie
62,Blueberry Snow Cone
63,Blue Bouncy Ball
64,Loaf of Bread
65,Blueberry Smoothie
66,Slice of Bread
67,???
68,???
69,???
70,Caramel Smoothie
71,Pitcher of Cherryade
72,Cherry Slushie
73,Cherry Smoothie
74,Cherry Snow Cone
75,Chocolate Chip Cookies
76,Chocolate Bar
77,Chocolate Snot Snow Cone
78,Chocolate Trido Cake
79,Cottoncandy Slushie
80,Cottoncandy Snow Cone
81,Glass of Blueberry Lemonade
82,Glass of Cherryade
83,Glass of Lemonade
84,Glass of Limeade
85,Glass of Orange Juice
86,Glass of Pink Lemonade
87,Glass of Plumade
88,Novyn Volcano Cake
89,Earth Bomb
90,Earth Fireball
91,Earth Snowball
92,Earth Wand
93,Earth Buckler
94,Earth Sword
95,Fire Bomb
96,Fire Buckler
97,Ice Bomb
98,Ice Buckler
99,Ice Sword
100,Wind Bomb
101,Wind Buckler
102,Ice Fireball
103,Fire Wand
104,Fireball
105,Fish on a Stick
106,Fish Slushie
107,Fried Eggs
108,Jar of Grape Jelly
109,Grape Slushie
110,Grape Smoothie
111,Grape Snow Cone
112,Green Bouncy Ball
113,???
114,???
115,Steel Shield
116,Spiked Gauntlets
117,Coconut Projectile
118,Iron Battleaxe
119,???
120,???
121,???
122,???
123,???
124,???
125,???
126,???
127,???
128,Autopricer
129,???
130,???
131,???
132,???
133,???
134,???
135,???
136,???
137,???
138,???
139,???
140,???
141,???
142,???
143,???
144,???
145,???
146,???
147,???
148,???
149,???
150,???
151,???
152,???
153,Glacia Stamp
154,???
155,Knollo Woods Stamp
156,Halipar Jungles Stamp
157,Blueberry Ice Cream Cone Plush
158,Blueberry Swirl Ice Cream Cone Plush
159,???
160,Blue Sock and Ball
161,Green Sock and Ball
162,Orange Sock and Ball
163,Purple Sock and Ball
164,Rainbow Sock and Ball
165,Yellow Sock and Ball
166,Black Bandit Mask
167,Blue Bandit Mask
168,Red Bandit Mask
169,Yellow Bandit Mask
170,???
171,???
172,???
173,???
174,???
175,Birthday Cake
176,???
177,Gold Boat
178,Pirate Boat
179,Plain Boat
180,Chocolate Ice Cream Cone Plush
181,Chocolate Swirl Ice Cream Cone Plush
182,Mint Ice Cream Cone Plush
183,Strawberry Ice Cream Cone Plush
184,Strawberry Swirl Ice Cream Cone Plush
185,Vanilla Ice Cream Cone Plush
186,???
187,???
188,???
189,???
190,???
191,???
192,???
193,???
194,???
195,Prankster Fake Spider
196,Prankster Glasses
197,Prankster Squirt Pen
198,Prankster Tuna Gum
199,???
200,???
201,???
202,???
203,???
204,???
205,???
206,???
207,???
208,???
209,All About Boats
210,Ancient Book
211,???
212,Book of Secrets
213,Colouring Book
214,Digging Handbook
215,Emo Book
216,English Textbook
217,All About Rainbows
218,Forgotten Book
219,Frozen Book
220,Gardening Handbook
221,History Textbook
222,The Secret of the Rainbow
223,Hungry Book
224,Math Textbook
225,Misplaced Mine Shafts
226,Mr Rawls Magical Inventions
227,Private Diary
228,Scrapbook
229,???
230,Tales From the Graveyard
231,???
232,The Malignant Weed
233,The Moon Sapphire
234,???
235,???
236,???
237,Plain Biscuit
238,Slice of Bread with Egg
239,Sausage Biscuit
240,Toast with Egg
241,Toast
242,Vanilla Banana Split
243,Chocolate Covered Vanilla Banana Split
244,Grape Gelatin
245,Lime Gelatin
246,Lemon Gelatin
247,???
248,???
249,???
250,Coffee
251,???
252,???
253,Mixed Berry Smoothie
254,Rainbow Smoothie
255,Tropical Cooler Smoothie
256,Chocolate Smoothie
257,Lemon Lime Smoothie
258,Lemon Smoothie
259,Melon Smoothie
260,Orange Smoothie
261,Vanilla Smoothie
262,Pickle
263,???
264,???
