ID,creditStock,creditSub,creditPrice,eventStock,eventSub,eventPrice
1,none,none,none,none,none,none
2,none,none,none,none,none,none
3,none,none,none,none,none,none
4,none,none,none,none,none,none
5,none,none,none,none,none,none
6,none,none,none,none,none,none
7,none,none,none,none,none,none
8,none,none,none,none,none,none
9,none,none,none,none,none,none
10,none,none,none,none,none,none
11,none,none,none,none,none,none
12,none,none,none,none,none,none
13,none,none,none,none,none,none
14,none,none,none,none,none,none
15,none,none,none,none,none,none
16,none,none,none,none,none,none
17,none,none,none,none,none,none
18,none,none,none,none,none,none
19,none,none,none,none,none,none
20,none,none,none,none,none,none
21,none,none,none,none,none,none
22,none,none,none,none,none,none
23,none,none,none,none,none,none
24,none,none,none,none,none,none
25,none,none,none,none,none,none
26,none,none,none,none,none,none
27,none,none,none,none,none,none
28,none,none,none,none,none,none
29,none,none,none,none,none,none
30,none,none,none,none,none,none
31,none,none,none,none,none,none
32,none,none,none,none,none,none
33,none,none,none,none,none,none
34,none,none,none,none,none,none
35,none,none,none,none,none,none
36,none,none,none,none,none,none
37,none,none,none,none,none,none
38,none,none,none,none,none,none
39,none,none,none,none,none,none
40,none,none,none,none,none,none
41,none,none,none,none,none,none
42,none,none,none,none,none,none
43,none,none,none,none,none,none
44,none,none,none,none,none,none
45,none,none,none,none,none,none
46,none,none,none,none,none,none
47,none,none,none,none,none,none
48,none,none,none,none,none,none
49,none,none,none,none,none,none
50,none,none,none,none,none,none
51,none,none,none,none,none,none
52,none,none,none,none,none,none
53,none,none,none,none,none,none
54,none,none,none,none,none,none
55,none,none,none,none,none,none
56,none,none,none,none,none,none
57,none,none,none,none,none,none
58,none,none,none,none,none,none
59,none,none,none,none,none,none
60,none,none,none,none,none,none
61,none,none,none,none,none,none
62,none,none,none,none,none,none
63,none,none,none,none,none,none
64,none,none,none,none,none,none
65,none,none,none,none,none,none
66,none,none,none,none,none,none
67,none,none,none,none,none,none
68,none,none,none,none,none,none
69,none,none,none,none,none,none
70,none,none,none,none,none,none
71,none,none,none,none,none,none
72,none,none,none,none,none,none
73,none,none,none,none,none,none
74,none,none,none,none,none,none
75,none,none,none,none,none,none
76,none,none,none,none,none,none
77,none,none,none,none,none,none
78,none,none,none,none,none,none
79,none,none,none,none,none,none
80,none,none,none,none,none,none
81,none,none,none,none,none,none
82,none,none,none,none,none,none
83,none,none,none,none,none,none
84,none,none,none,none,none,none
85,none,none,none,none,none,none
86,none,none,none,none,none,none
87,none,none,none,none,none,none
88,none,none,none,none,none,none
89,none,none,none,none,none,none
90,none,none,none,none,none,none
91,none,none,none,none,none,none
92,none,none,none,none,none,none
93,none,none,none,none,none,none
94,none,none,none,none,none,none
95,none,none,none,none,none,none
96,none,none,none,none,none,none
97,none,none,none,none,none,none
98,none,none,none,none,none,none
99,none,none,none,none,none,none
100,none,none,none,none,none,none
